2~@~AdmReportGrp    10: Report (en-US)~@~2~@~1~@~Report
437~@~AdmLabel    20: Category (de-DE)~@~49~@~68~@~Kategorie
438~@~AdmLabel    40: Text (de-DE)~@~50~@~68~@~Text
439~@~AdmLabel    30: Key (de-DE)~@~51~@~68~@~Schlüssel
440~@~AdmTbdRule    10: Screen (de-DE)~@~52~@~68~@~Bildschirm
441~@~AdmAppInfo    10: Release Date Since (de-DE)~@~53~@~68~@~Erscheinungsdatum Da
443~@~AdmStaticPg    20: Description (de-DE)~@~55~@~68~@~Beschreibung
444~@~AdmLabelVw    10: Culture (de-DE)~@~56~@~68~@~Kultur
445~@~AdmLabelVw    20: Category (de-DE)~@~59~@~68~@~Kategorie
446~@~AdmScreen    10: Program Name (de-DE)~@~60~@~68~@~Program Name
447~@~AdmCtCulture    10: To Translate (de-DE)~@~61~@~68~@~Übersetzen
450~@~AdmLabel    10: Culture (hi-IN)~@~48~@~8~@~संस्कृति
451~@~AdmLabel    20: Category (hi-IN)~@~49~@~8~@~श्रेणी
452~@~AdmLabel    40: Text (hi-IN)~@~50~@~8~@~पाठ
453~@~AdmLabel    30: Key (hi-IN)~@~51~@~8~@~कुंजी
454~@~AdmAppInfo    10: Release Date Since (hi-IN)~@~53~@~8~@~रिलीज की तारीख के बाद से
456~@~AdmStaticPg    20: Description (hi-IN)~@~55~@~8~@~विवरण
457~@~AdmLabelVw    10: Culture (hi-IN)~@~56~@~8~@~संस्कृति
458~@~AdmLabelVw    20: Category (hi-IN)~@~59~@~8~@~श्रेणी
459~@~AdmScreen    10: Program Name (hi-IN)~@~60~@~8~@~प्रोग्राम नाम
460~@~AdmCtCulture    10: To Translate (hi-IN)~@~61~@~8~@~अनुवाद करने के लिए
463~@~AdmLabel    10: Culture (ja-JP)~@~48~@~14~@~文化
464~@~AdmLabel    20: Category (ja-JP)~@~49~@~14~@~カテゴリ
465~@~AdmLabel    40: Text (ja-JP)~@~50~@~14~@~テキスト
466~@~AdmLabel    30: Key (ja-JP)~@~51~@~14~@~キー
467~@~AdmAppInfo    10: Release Date Since (ja-JP)~@~53~@~14~@~以来、リリース日
469~@~AdmStaticPg    20: Description (ja-JP)~@~55~@~14~@~説明
470~@~AdmLabelVw    10: Culture (ja-JP)~@~56~@~14~@~文化
471~@~AdmLabelVw    20: Category (ja-JP)~@~59~@~14~@~カテゴリ
472~@~AdmScreen    10: Program Name (ja-JP)~@~60~@~14~@~プログラム名
473~@~AdmCtCulture    10: To Translate (ja-JP)~@~61~@~14~@~翻訳する
475~@~AdmReportGrp    10: Report (ko-KR)~@~2~@~28~@~신고
476~@~AdmScreenCri    10: Screen (ko-KR)~@~3~@~28~@~화면
477~@~AdmReportCri    10: Report (ko-KR)~@~4~@~28~@~신고
479~@~AdmClientRule    10: Screen (ko-KR)~@~9~@~28~@~화면
480~@~AdmClientRule    30: Culture (ko-KR)~@~10~@~28~@~문화
481~@~AdmClientRule    20: Report (ko-KR)~@~11~@~28~@~신고
483~@~AdmReportObj    10: Report (ko-KR)~@~13~@~28~@~신고
484~@~AdmWebRule    10: Screen (ko-KR)~@~15~@~28~@~화면
485~@~AdmServerRule    10: Screen (ko-KR)~@~16~@~28~@~화면
486~@~AdmWizardRule    10: Wizard (ko-KR)~@~17~@~28~@~마법사
487~@~AdmCtButtonHlp    10: Culture (ko-KR)~@~18~@~28~@~문화
488~@~AdmButtonHlp    10: Culture (ko-KR)~@~19~@~28~@~문화
489~@~AdmUsr    10: Email Address (ko-KR)~@~22~@~28~@~이메일 주소
490~@~AdmUsr    20: User Name (ko-KR)~@~23~@~28~@~사용자 이름
491~@~AdmUsr    30: User Group (ko-KR)~@~24~@~28~@~사용자 그룹
492~@~AdmDbTable    10: Table Name (ko-KR)~@~25~@~28~@~테이블 이름
494~@~AdmMsgCenter    20: Source (ko-KR)~@~27~@~28~@~출처
495~@~AdmMsgCenter    10: Message Id (ko-KR)~@~28~@~28~@~메시지 ID
496~@~AdmRptCtr    10: Report (ko-KR)~@~29~@~28~@~신고
497~@~AdmRptElm    10: Report (ko-KR)~@~30~@~28~@~신고
498~@~AdmRptTbl    20: Report Control (ko-KR)~@~31~@~28~@~보고서 제어
499~@~AdmRptStyle    10: Default Style (ko-KR)~@~32~@~28~@~기본 스타일
500~@~AdmRptTbl    10: Report (ko-KR)~@~34~@~28~@~신고
501~@~AdmRelease    10: Releases On or After (ko-KR)~@~35~@~28~@~이후에 자료
502~@~AdmRelease    20: Entity (ko-KR)~@~36~@~28~@~본체
503~@~AdmRelease    30: Release Type (ko-KR)~@~37~@~28~@~릴리스 유형
504~@~AdmRowOvrd    10: Screen (ko-KR)~@~38~@~28~@~화면
505~@~AdmRowOvrd    20: Report (ko-KR)~@~39~@~28~@~신고
506~@~AdmDbTable    20: Table Description (ko-KR)~@~42~@~28~@~표 설명
508~@~AdmAppItem    10: Script contains (ko-KR)~@~44~@~28~@~스크립트가 포함되어
512~@~AdmLabel    10: Culture (ko-KR)~@~48~@~28~@~문화
513~@~AdmLabel    20: Category (ko-KR)~@~49~@~28~@~범주
514~@~AdmLabel    40: Text (ko-KR)~@~50~@~28~@~본문
515~@~AdmLabel    30: Key (ko-KR)~@~51~@~28~@~키
516~@~AdmTbdRule    10: Screen (ko-KR)~@~52~@~28~@~화면
517~@~AdmAppInfo    10: Release Date Since (ko-KR)~@~53~@~28~@~날짜 이후 해제
519~@~AdmStaticPg    20: Description (ko-KR)~@~55~@~28~@~기술
520~@~AdmLabelVw    10: Culture (ko-KR)~@~56~@~28~@~문화
521~@~AdmLabelVw    20: Category (ko-KR)~@~59~@~28~@~범주
522~@~AdmScreen    10: Program Name (ko-KR)~@~60~@~28~@~프로그램 이름
523~@~AdmCtCulture    10: To Translate (ko-KR)~@~61~@~28~@~번역하기
526~@~AdmLabel    10: Culture (pt-BR)~@~48~@~9~@~Cultura
527~@~AdmLabel    20: Category (pt-BR)~@~49~@~9~@~Categoria
528~@~AdmLabel    40: Text (pt-BR)~@~50~@~9~@~Texto
529~@~AdmLabel    30: Key (pt-BR)~@~51~@~9~@~Chave
530~@~AdmAppInfo    10: Release Date Since (pt-BR)~@~53~@~9~@~Data de Lançamento Desde
532~@~AdmStaticPg    20: Description (pt-BR)~@~55~@~9~@~Descrição
533~@~AdmLabelVw    10: Culture (pt-BR)~@~56~@~9~@~Cultura
534~@~AdmLabelVw    20: Category (pt-BR)~@~59~@~9~@~Categoria
535~@~AdmScreen    10: Program Name (pt-BR)~@~60~@~9~@~Nome do Programa
536~@~AdmCtCulture    10: To Translate (pt-BR)~@~61~@~9~@~Para Traduzir
539~@~AdmLabel    10: Culture (ru-RU)~@~48~@~12~@~Культура
540~@~AdmLabel    20: Category (ru-RU)~@~49~@~12~@~Категория
541~@~AdmLabel    40: Text (ru-RU)~@~50~@~12~@~Текст
542~@~AdmLabel    30: Key (ru-RU)~@~51~@~12~@~Ключ
543~@~AdmAppInfo    10: Release Date Since (ru-RU)~@~53~@~12~@~Дата выпуска С
545~@~AdmStaticPg    20: Description (ru-RU)~@~55~@~12~@~Описание
546~@~AdmLabelVw    10: Culture (ru-RU)~@~56~@~12~@~Культура
547~@~AdmLabelVw    20: Category (ru-RU)~@~59~@~12~@~Категория
548~@~AdmScreen    10: Program Name (ru-RU)~@~60~@~12~@~Название программы
549~@~AdmCtCulture    10: To Translate (ru-RU)~@~61~@~12~@~Чтобы перевести
552~@~AdmLabel    10: Culture (es-ES)~@~48~@~13~@~Cultura
553~@~AdmLabel    20: Category (es-ES)~@~49~@~13~@~Categoría
554~@~AdmLabel    40: Text (es-ES)~@~50~@~13~@~Texto
555~@~AdmLabel    30: Key (es-ES)~@~51~@~13~@~Clave
556~@~AdmAppInfo    10: Release Date Since (es-ES)~@~53~@~13~@~Fecha de la versión Puesto
558~@~AdmStaticPg    20: Description (es-ES)~@~55~@~13~@~Descripción
559~@~AdmLabelVw    10: Culture (es-ES)~@~56~@~13~@~Cultura
560~@~AdmLabelVw    20: Category (es-ES)~@~59~@~13~@~Categoría
561~@~AdmScreen    10: Program Name (es-ES)~@~60~@~13~@~Nombre del Programa
562~@~AdmCtCulture    10: To Translate (es-ES)~@~61~@~13~@~Para traducir
564~@~AdmSredTime    10: Member (en-US)~@~63~@~1~@~Member
566~@~AdmSredTime    20: Work From (>=) (en-US)~@~65~@~1~@~Work From (>=)
567~@~AdmSredTime    30: Work To (<=) (en-US)~@~66~@~1~@~Work To (<=)
568~@~AdmRptCtr    20: Value like (en-US)~@~67~@~1~@~Value like
571~@~AdmMsgCenter    30: Description Like (en-US)~@~70~@~1~@~Description Like
1571~@~AdmStaticPg    10: ID (en-US)~@~1070~@~1~@~ID
1621~@~AdmScreenFilter    10: Screen (en-US)~@~1072~@~1~@~Screen
1622~@~AdmScreenFilter    10: Screen (zh-CN)~@~1072~@~4~@~屏幕
1623~@~AdmScreenFilter    10: Screen (fr-FR)~@~1072~@~2~@~Écran
1624~@~AdmScreenFilter    10: Screen (hi-IN)~@~1072~@~8~@~परदा
1625~@~AdmScreenFilter    10: Screen (pt-BR)~@~1072~@~9~@~Tela
1626~@~AdmScreenFilter    10: Screen (tr-TR)~@~1072~@~11~@~Ekran
1627~@~AdmScreenFilter    10: Screen (ja-JP)~@~1072~@~14~@~スクリーン
1628~@~AdmScreenFilter    10: Screen (ru-RU)~@~1072~@~12~@~Экран
1629~@~AdmScreenFilter    10: Screen (es-ES)~@~1072~@~13~@~Pantalla
1630~@~AdmScreenFilter    10: Screen (de-DE)~@~1072~@~68~@~Bildschirm
1631~@~AdmScreenFilter    10: Screen (ko-KR)~@~1072~@~28~@~화면
1632~@~AdmPageObj    10: Section Type (en-US)~@~1073~@~1~@~Section Type
1633~@~AdmSredTime    10: Member (zh-CN)~@~63~@~4~@~会员
1634~@~AdmSredTime    20: Work From (>=) (zh-CN)~@~65~@~4~@~从（> =）工作
1635~@~AdmSredTime    30: Work To (<=) (zh-CN)~@~66~@~4~@~工作中（<=）
1636~@~AdmRptCtr    20: Value like (zh-CN)~@~67~@~4~@~像值
1637~@~AdmMsgCenter    30: Description Like (zh-CN)~@~70~@~4~@~描述像
1638~@~AdmStaticPg    10: ID (zh-CN)~@~1070~@~4~@~ID
1639~@~AdmPageObj    10: Section Type (zh-CN)~@~1073~@~4~@~截面类型
1640~@~AdmSredTime    10: Member (ko-KR)~@~63~@~28~@~회원
1641~@~AdmSredTime    20: Work From (>=) (ko-KR)~@~65~@~28~@~(> =)에서 작업
1642~@~AdmSredTime    30: Work To (<=) (ko-KR)~@~66~@~28~@~할 일 (<=)
1643~@~AdmRptCtr    20: Value like (ko-KR)~@~67~@~28~@~같은 값
1644~@~AdmMsgCenter    30: Description Like (ko-KR)~@~70~@~28~@~설명처럼
1645~@~AdmStaticPg    10: ID (ko-KR)~@~1070~@~28~@~신분증
1646~@~AdmPageObj    10: Section Type (ko-KR)~@~1073~@~28~@~제 유형
1647~@~AdmColDrg    10: Screen (en-US)~@~1074~@~1~@~Screen
1648~@~AdmScrAudit    10: Screen (en-US)~@~1075~@~1~@~Screen
1649~@~AdmScrAudit    10: Screen (zh-CN)~@~1075~@~4~@~屏幕
1650~@~AdmScrAudit    10: Screen (fr-FR)~@~1075~@~2~@~Écran
1651~@~AdmScrAudit    10: Screen (hi-IN)~@~1075~@~8~@~परदा
1652~@~AdmScrAudit    10: Screen (pt-BR)~@~1075~@~9~@~Tela
1653~@~AdmScrAudit    10: Screen (tr-TR)~@~1075~@~11~@~Ekran
1654~@~AdmScrAudit    10: Screen (ja-JP)~@~1075~@~14~@~スクリーン
1655~@~AdmScrAudit    10: Screen (ru-RU)~@~1075~@~12~@~Экран
1656~@~AdmScrAudit    10: Screen (es-ES)~@~1075~@~13~@~Pantalla
1657~@~AdmScrAudit    10: Screen (de-DE)~@~1075~@~68~@~Bildschirm
1658~@~AdmScrAudit    10: Screen (ko-KR)~@~1075~@~28~@~화면
1659~@~AdmScrAuditDtl    10: Audit ID (en-US)~@~1076~@~1~@~Audit ID
1660~@~AdmCtCulture    20: 11/12/ Rule (en-US)~@~1077~@~1~@~11/12/ Rule
1661~@~~@~2~@~114~@~rapport
1662~@~~@~3~@~114~@~Écran
1663~@~~@~4~@~114~@~rapport
1664~@~~@~9~@~114~@~Écran
1665~@~~@~10~@~114~@~Culture
1666~@~~@~11~@~114~@~rapport
1667~@~~@~13~@~114~@~rapport
1668~@~~@~15~@~114~@~Écran
1669~@~~@~16~@~114~@~Écran
1670~@~~@~17~@~114~@~sorcier
1671~@~~@~18~@~114~@~Culture
1672~@~~@~19~@~114~@~Culture
1673~@~~@~22~@~114~@~Adresse e-mail
1674~@~~@~23~@~114~@~Nom d'utilisateur
1675~@~~@~24~@~114~@~Groupe d'utilisateurs
1676~@~~@~25~@~114~@~Nom de la table
1677~@~~@~27~@~114~@~La source
1678~@~~@~28~@~114~@~ID du message
1679~@~~@~29~@~114~@~rapport
1680~@~~@~30~@~114~@~rapport
1681~@~~@~31~@~114~@~Contrôle des rapports
1682~@~~@~32~@~114~@~Style par défaut
1683~@~~@~34~@~114~@~rapport
1684~@~~@~35~@~114~@~Versions le ou après
1685~@~~@~36~@~114~@~Entité
1686~@~~@~37~@~114~@~Type de version
1687~@~~@~38~@~114~@~Écran
1688~@~~@~39~@~114~@~rapport
1689~@~~@~42~@~114~@~Description du tableau
1690~@~~@~44~@~114~@~Le script contient
1691~@~~@~48~@~114~@~Culture
1692~@~~@~49~@~114~@~Catégorie
1693~@~~@~50~@~114~@~Texte
1694~@~~@~51~@~114~@~Clé
1695~@~~@~52~@~114~@~Écran
1696~@~~@~53~@~114~@~Date de sortie depuis
1697~@~~@~55~@~114~@~La description
1698~@~~@~56~@~114~@~Culture
1699~@~~@~59~@~114~@~Catégorie
1700~@~~@~60~@~114~@~Nom du programme
1701~@~~@~61~@~114~@~Traduire
1702~@~~@~63~@~114~@~Membre
1703~@~~@~65~@~114~@~Travail à partir de (> =)
1704~@~~@~66~@~114~@~Travail à (<=)
1705~@~~@~67~@~114~@~Valeur comme
1706~@~~@~70~@~114~@~Description J'aime
1707~@~~@~1070~@~114~@~Identifiant
1708~@~~@~1072~@~114~@~Écran
1709~@~~@~1073~@~114~@~Type de section
1710~@~~@~1074~@~114~@~Écran
1711~@~~@~1075~@~114~@~Écran
1712~@~~@~1076~@~114~@~ID d'audit
1713~@~~@~1077~@~114~@~11/12 / Règle
